"Step","qmix_originalstate_seed3 - eval_win_rate","qmix_originalstate_seed3 - eval_win_rate__MIN","qmix_originalstate_seed3 - eval_win_rate__MAX","qmix_originalstate_seed2 - eval_win_rate","qmix_originalstate_seed2 - eval_win_rate__MIN","qmix_originalstate_seed2 - eval_win_rate__MAX","qmix_originalstate_seed1 - eval_win_rate","qmix_originalstate_seed1 - eval_win_rate__MIN","qmix_originalstate_seed1 - eval_win_rate__MAX"
"1443438","","","","","","","0.71875","0.71875","0.71875"
"1453452","","","","","","","0.96875","0.96875","0.96875"
"1461795","1","1","1","","","","","",""
"1461854","","","","0.96875","0.96875","0.96875","","",""
"1463583","","","","","","","0.875","0.875","0.875"
"1473607","","","","","","","0.78125","0.78125","0.78125"
"1481824","0.875","0.875","0.875","","","","","",""
"1481883","","","","1","1","1","","",""
"1483633","","","","","","","0.96875","0.96875","0.96875"
"1493668","","","","","","","0.8125","0.8125","0.8125"
"1501825","0.9375","0.9375","0.9375","","","","","",""
"1501907","","","","1","1","1","","",""
"1503684","","","","","","","0.9375","0.9375","0.9375"
"1513689","","","","","","","0.96875","0.96875","0.96875"
"1521917","","","","0.96875","0.96875","0.96875","","",""
"1521938","0.96875","0.96875","0.96875","","","","","",""
"1523703","","","","","","","0.9375","0.9375","0.9375"
"1533717","","","","","","","0.96875","0.96875","0.96875"
"1541927","","","","1","1","1","","",""
"1541966","1","1","1","","","","","",""
"1543727","","","","","","","0.96875","0.96875","0.96875"
"1553852","","","","","","","0.84375","0.84375","0.84375"
"1561946","","","","1","1","1","","",""
"1561975","1","1","1","","","","","",""
"1563869","","","","","","","1","1","1"
"1573896","","","","","","","0.9375","0.9375","0.9375"
"1581964","","","","0.96875","0.96875","0.96875","","",""
"1581975","1","1","1","","","","","",""
"1583912","","","","","","","1","1","1"
"1593938","","","","","","","0.96875","0.96875","0.96875"
"1601990","","","","1","1","1","","",""
"1602109","1","1","1","","","","","",""
"1603946","","","","","","","0.78125","0.78125","0.78125"
"1613951","","","","","","","0.96875","0.96875","0.96875"
"1622017","","","","0.8125","0.8125","0.8125","","",""
"1622136","0.96875","0.96875","0.96875","","","","","",""
"1624004","","","","","","","0.90625","0.90625","0.90625"
"1634009","","","","","","","1","1","1"
"1642035","","","","1","1","1","","",""
"1642175","0.96875","0.96875","0.96875","","","","","",""
"1644012","","","","","","","0.875","0.875","0.875"
"1654031","","","","","","","0.96875","0.96875","0.96875"
"1662060","","","","1","1","1","","",""
"1662207","0.75","0.75","0.75","","","","","",""
"1664043","","","","","","","1","1","1"
"1674063","","","","","","","1","1","1"
"1682091","","","","1","1","1","","",""
"1682210","1","1","1","","","","","",""
"1684078","","","","","","","1","1","1"
"1694090","","","","","","","1","1","1"
"1702120","","","","1","1","1","","",""
